"filename", "language", "Database", "Python", "JSON", "Properties", "XML", "Batch", "PowerShell", "comment", "blank", "total"
"c:\Users\alexa\OneDrive\Dokumente\Schule\5BHWII\SWP\Rubner\Aufgabe 3 SSP\venv\Lib\site-packages\setuptools\_imp.py", "Python", 0, 61, 0, 0, 0, 0, 0, 5, 17, 83
"c:\Users\alexa\OneDrive\Dokumente\Schule\5BHWII\SWP\Rubner\Aufgabe 3 SSP\venv\Lib\site-packages\setuptools\_vendor\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\alexa\OneDrive\Dokumente\Schule\5BHWII\SWP\Rubner\Aufgabe 3 SSP\venv\Lib\site-packages\setuptools\_vendor\more_itertools\__init__.py", "Python", 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\alexa\OneDrive\Dokumente\Schule\5BHWII\SWP\Rubner\Aufgabe 3 SSP\venv\Lib\site-packages\setuptools\_vendor\more_itertools\more.py", "Python", 0, 1414, 0, 0, 0, 0, 0, 2016, 396, 3826
"c:\Users\alexa\OneDrive\Dokumente\Schule\5BHWII\SWP\Rubner\Aufgabe 3 SSP\venv\Lib\site-packages\setuptools\_vendor\more_itertools\recipes.py", "Python", 0, 195, 0, 0, 0, 0, 0, 355, 71, 621
"c:\Users\alexa\OneDrive\Dokumente\Schule\5BHWII\SWP\Rubner\Aufgabe 3 SSP\venv\Lib\site-packages\setuptools\_vendor\ordered_set.py", "Python", 0, 159, 0, 0, 0, 0, 0, 292, 38, 489
"c:\Users\alexa\OneDrive\Dokumente\Schule\5BHWII\SWP\Rubner\Aufgabe 3 SSP\venv\Lib\site-packages\setuptools\_vendor\packaging\__about__.py", "Python", 0, 19, 0, 0, 0, 0, 0, 3, 6, 28
"c:\Users\alexa\OneDrive\Dokumente\Schule\5BHWII\SWP\Rubner\Aufgabe 3 SSP\venv\Lib\site-packages\setuptools\_vendor\packaging\__init__.py", "Python", 0, 21, 0, 0, 0, 0, 0, 3, 3, 27
"c:\Users\alexa\OneDrive\Dokumente\Schule\5BHWII\SWP\Rubner\Aufgabe 3 SSP\venv\Lib\site-packages\setuptools\_vendor\packaging\_compat.py", "Python", 0, 16, 0, 0, 0, 0, 0, 12, 11, 39
"c:\Users\alexa\OneDrive\Dokumente\Schule\5BHWII\SWP\Rubner\Aufgabe 3 SSP\venv\Lib\site-packages\setuptools\_vendor\packaging\_structures.py", "Python", 0, 41, 0, 0, 0, 0, 0, 21, 25, 87
"c:\Users\alexa\OneDrive\Dokumente\Schule\5BHWII\SWP\Rubner\Aufgabe 3 SSP\venv\Lib\site-packages\setuptools\_vendor\packaging\_typing.py", "Python", 0, 10, 0, 0, 0, 0, 0, 35, 4, 49
"c:\Users\alexa\OneDrive\Dokumente\Schule\5BHWII\SWP\Rubner\Aufgabe 3 SSP\venv\Lib\site-packages\setuptools\_vendor\packaging\markers.py", "Python", 0, 208, 0, 0, 0, 0, 0, 46, 75, 329
"c:\Users\alexa\OneDrive\Dokumente\Schule\5BHWII\SWP\Rubner\Aufgabe 3 SSP\venv\Lib\site-packages\setuptools\_vendor\packaging\requirements.py", "Python", 0, 92, 0, 0, 0, 0, 0, 21, 33, 146
"c:\Users\alexa\OneDrive\Dokumente\Schule\5BHWII\SWP\Rubner\Aufgabe 3 SSP\venv\Lib\site-packages\setuptools\_vendor\packaging\specifiers.py", "Python", 0, 383, 0, 0, 0, 0, 0, 327, 154, 864
